objid,ra,dec,hubble,petroR90_g,group
J14150062-00474902,213.75258,-0.79695,E4,10.87,train
J11160022+00090072,169.00092,0.1502,E4,8.5,test_expert
J09293523-00540415,142.39678999999995,-0.901153,E4,10.71,valid
J10142570-00521872,153.60708,-0.8718670000000001,E4,20.88,test_expert
J11372746-00504765,174.36442,-0.846569,E4,16.281,valid
J09455253-00053419,146.46886999999995,-0.092831,E4,21.16,valid
J12002887-00072486,180.12028999999995,-0.123572,E4,16.08,train
J10054983+00380005,151.45762,0.633347,E4,11.74,train
J10055067+00375446,151.46112,0.631794,E4,12.41,train
J15175401+00494322,229.47504,0.828672,E4,15.11,train
J12094088+01102223,182.42033,1.172842,E4,18.36,train
J02051987+13153063,31.332790000000006,13.258508,E4,8.63,train
J02052928+13150354,31.372,13.250982999999998,E4,42.74,train
J01360017+14335561,24.00071,14.565447,E4,8.23,valid
J02113906+14083043,32.91275,14.141785999999998,E4,5.19,test_expert
J02434594-08105710,40.94142,-8.182528,E4,8.89,train
J02312079-08041380,37.83662,-8.0705,E4,7.15,valid
J03544653-04421985,58.69387,-4.705514,E4,11.96,train
J11493539-03291736,177.39746,-3.488156,E4,14.27,train
J11412644-02294755,175.36016999999995,-2.496542,E4,7.87,train
J11451952-02345710,176.33133,-2.582528,E4,8.96,train
J11283445-01374646,172.14354,-1.629572,E4,13.76,train
J12425072-01485097,190.71133,-1.814158,E4,12.98,train
J11570843-03135879,179.28512,-3.232997,E4,5.93,train
J09224493-00205582,140.68721000000002,-0.348839,E4,11.77,test_expert
J07541689+40072889,118.57037,40.124692,E4,9.62,train
J07591739+42003068,119.82246,42.008522,E4,15.91,train
J08591192+54023529,134.79967,54.043136,E4,15.76,train
J08090664+45331553,122.27767,45.554314,E4,11.85,valid
J08421173+52462319,130.54887,52.77310799999999,E4,32.8,test_expert
J17123808+57192094,258.15867000000003,57.322483,E4,11.04,train
J17222791+57095085,260.61629,57.164125,E4,11.68,train
J14210908+61345662,215.28783,61.582394,E4,7.33,train
J16373014+44084010,249.37558,44.144472,E4,14.45,train
J08352150+52473426,128.83958,52.79285,E4,7.29,train
J08502278+55224377,132.59492,55.378825,E4,16.65,train
J13544248+65143977,208.677,65.244381,E4,9.27,test_expert
J08443801+55010840,131.15837,55.019,E4,16.14,train
J08403355+55462327,130.13978999999998,55.77313100000001,E4,7.09,test_expert
J17380539+57070564,264.52246,57.118233,E4,9.9,valid
J17250207+58175718,261.25862,58.29921700000001,E4,5.91,train
J17132909+64024895,258.37121,64.046931,E4,13.52,train
J17225922+60333359,260.74675,60.55933100000001,E4,7.6,train
J07353645+39455347,113.90187,39.764853,E4,17.74,train
J15543453+53364675,238.64387,53.612986,E4,13.49,train
J15580347+52593833,239.51446,52.99398100000001,E4,8.11,test_expert
J15594898+52450108,239.95408,52.7503,E4,13.5,train
J16021375+52190590,240.55729,52.318306,E4,19.76,train
J14054350+65343207,211.43125,65.575575,E4,6.72,test_expert
J15481827+57354946,237.07612000000003,57.597072,E4,12.52,train
J12013829+01593076,180.40954,1.991878,E4,9.24,train
J15011768+01530455,225.32367,1.884597,E4,6.04,valid
J12424245+02470347,190.67687,2.784297,E4,8.25,train
J14271377+02504861,216.80737,2.846836,E4,10.7,test_expert
J14391552+02434089,219.81467,2.728025,E4,20.16,train
J09200217+01021794,140.00904,1.038317,E4,41.11,train
J12043805+01471577,181.15854,1.787714,E4,23.85,valid
J10223179+02213887,155.63246,2.3607970000000003,E4,9.66,valid
J11112871+03161747,167.86962,3.271519,E4,8.22,test_expert
J15132368+02562473,228.34867000000003,2.940203,E4,9.67,train
J21572942-07474456,329.37258,-7.795711,E4,10.65,test_expert
J21564676-06565038,329.19483,-6.947328,E4,10.89,train
J23562651-11050949,359.11046,-11.085969,E4,14.05,train
J03140552-08272485,48.523,-8.456903,E4,11.3,train
J02451327-08205421,41.30529,-8.348392,E4,8.2,train
J03521258-06205624,58.05242,-6.3489559999999985,E4,22.08,train
J23550682-09223212,358.7784200000001,-9.375589,E4,25.01,train
J00260177-09315802,6.50737,-9.532783,E4,7.21,valid
J21530508-07110699,328.2711700000001,-7.185275,E4,14.4,train
J23242597+13582020,351.10821,13.972278,E4,20.71,train
J22370157+14241746,339.25654,14.40485,E4,16.171,train
J01541807-09424853,28.575290000000006,-9.713481,E4,31.45,train
J02085868-07460053,32.2445,-7.766814,E4,25.17,train
J23355925-09263140,353.99687,-9.442056,E4,0.0,train
J02032264-08375031,30.84433,-8.630642,E4,9.52,test_expert
J12412955+63180702,190.37312,63.30195,E4,8.2,valid
J11111773+03115266,167.82387,3.1979610000000003,E4,15.85,train
J11172588+03321179,169.35783,3.536608,E4,8.43,test_expert
J08461298+48205430,131.55408,48.348417,E4,18.78,train
J08101793+42241979,122.57471,42.405497,E4,17.22,train
J07581279+38320709,119.55329,38.535303000000006,E4,15.01,train
J08225668+45290939,125.73617,45.485942,E4,10.88,train
J10394785+04344995,159.94937,4.580542,E4,9.47,train
J10004520+04440359,150.18833,4.734331,E4,21.32,train
J10591464+05173130,164.81099999999995,5.292028,E4,17.53,train
J10120082+03211106,153.00342,3.353072,E4,10.22,valid
J11393945+04221744,174.91437,4.371511,E4,21.35,test_expert
J11102531+04355823,167.60546000000005,4.599508,E4,19.34,train
J10481162+04553985,162.04842,4.927736,E4,22.32,train
J11190321+05133880,169.76337,5.227444,E4,8.55,test_expert
J10390661+05123519,159.77754,5.209775,E4,14.46,train
J11495329+05420289,177.47204,5.700803,E4,11.73,test_expert
J08454964+44330332,131.45683,44.550922,E4,9.8,train
